  1.000000,107668592.000000,107670035.000000,1443.000000, 50.505028, 45.446359,  5.617503,  5.753659,  0.247035,  0.136156,  0.249480, -1.000000, -1.000000, -1.000000,  1.000000,  4.000000
  2.000000,107670035.000000,107671761.000000,1726.000000, 26.984913, 41.514604,  4.811879,  5.091670,  0.242188,  0.279791,  0.243337, -1.000000, -1.000000, -1.000000,  4.000000,  4.000000
  3.000000,107671761.000000,107672944.000000,1183.000000, 35.073160, 32.613784,  3.711209,  3.797800,  0.203661,  0.086591,  0.253593, -1.000000, -1.000000, -1.000000,  4.000000,  4.000000
  4.000000,107672944.000000,107674097.000000,1153.000000, 41.377708,  2.933340,  2.615440,  3.000095,  0.155985,  0.384656,  0.260191, -1.000000, -1.000000, -1.000000,  4.000000,  4.000000
  5.000000,107674097.000000,107676977.000000,2880.000000, 21.437791,  0.037991,  1.213939,  2.479471,  0.235937,  1.265533,  0.229167, -1.000000, -1.000000, -1.000000,  4.000000,  5.000000
  6.000000,107677556.000000,107678705.000000,1149.000000, 29.342169,  4.031579,  0.780183,  1.481520,  0.356661,  0.701337,  0.261097, -1.000000, -1.000000, -1.000000,  5.000000,  5.000000
  7.000000,107678705.000000,107679611.000000,906.000000, 32.373466,  6.139326,  0.412261,  1.494965,  0.376859,  1.082704,  0.264901, -1.000000, -1.000000, -1.000000,  5.000000,  5.000000
  8.000000,107680219.000000,107685776.000000,5557.000000,  8.203166,  2.079147,  1.365353,  3.596261,  0.153739,  2.230909,  0.205147, -1.000000, -1.000000, -1.000000,  5.000000,  3.000000
  9.000000,107685776.000000,107688674.000000,2898.000000, 42.034237,  7.194652, 10.186268, 11.591098,  0.232407,  1.404830,  0.227743, -1.000000, -1.000000, -1.000000,  3.000000,  4.000000
 10.000000,107688674.000000,107692192.000000,3518.000000,  3.500641,  0.554092,  1.720352,  1.776220,  0.284633,  0.055868,  0.221717, -1.000000, -1.000000, -1.000000,  4.000000,  2.000000
 11.000000,107692192.000000,107695040.000000,2848.000000, 31.166971,  1.459174,  6.687169,  7.258674,  0.248586,  0.571505,  0.210674, -1.000000, -1.000000, -1.000000,  2.000000,  6.000000
 12.000000,107695040.000000,107696198.000000,1158.000000,  4.129097,  6.031250,  1.182327,  1.182458,  0.104865,  0.000131,  0.155440, -1.000000, -1.000000, -1.000000,  6.000000,  6.000000
 13.000000,107696198.000000,107696786.000000,588.000000, 33.056774, 78.715251,  3.129400,  3.137609,  0.231444,  0.008210,  0.306122, -1.000000, -1.000000, -1.000000,  6.000000,  6.000000
