duration,avg_speed,height_diff,grnd_dist,tot_dist,angle_var,prev_cluster,annotation
4425,0.47665,28,0.007832,0.20139,0.69884,unknown,digesting
2869,11.474,102,8.8301,10.322,0.32558,digesting,flying
5819,9.2581,40,3.3822,8.8832,0.93865,unknown,diving
7419,10.162,168,11.709,22.129,0.84947,unknown,diving
1610,13.395,34,1.9532,2.6718,0.70924,diving,diving
1054,8.5173,53,1.2135,2.044,0.53817,diving,diving
1634,9.3476,41,2.345,3.5905,0.66636,diving,diving
1271,12.853,88,4.99,5.5561,0.77885,diving,diving
3573,8.6202,70,8.0627,9.5166,0.76508,diving,flying
5428,3.8137,70,5.8599,8.2365,0.11017,flying,flying
970,6.2402,30,0.83394,0.99811,0.60837,flying,flying
1365,13.264,89,6.3395,6.3792,0.016646,flying,flying
5962,11.688,92,9.7124,14.491,0.77147,flying,flying
1446,15.603,70,6.7649,6.8361,0.003814,flying,flying
6787,9.3963,225,8.837,18.322,0.59647,unknown,unknown
2106,1.4669,14,1.3487,1.3597,1.4078,unknown,digesting
2790,7.9641,35,7.1416,7.4581,0.76498,digesting,flying
7514,11.757,199,14.593,21.635,0.76917,unknown,flying
1230,16.458,100,10.531,10.537,0.30006,flying,flying
1824,13.252,67,5.6005,6.9154,0.26026,unknown,flying
2044,16.563,137,11.363,11.497,0.34455,flying,flying
1208,19.055,19,9.2097,9.2817,0.053711,flying,flying
2145,11.917,28,8.72,9.2397,0.30694,unknown,flying
2128,11.18,23,9.8967,10.113,0.002436,flying,flying
1217,11.804,18,5.2099,5.4813,0.15548,flying,flying
1901,9.9225,35,6.8591,6.9847,0.005416,flying,flying
1241,8.5033,23,2.2903,3.9555,0.5381,flying,flying
7273,1.0837,28,2.5165,3.0842,0.41551,flying,digesting
2313,9.9399,24,4.3646,4.7388,0.82271,digesting,diving
6942,6.4236,70,0.8234,12.784,0.65366,diving,diving
1767,0.81931,13,0.58943,0.59066,0.051612,diving,digesting
7305,9.8891,111,9.6934,16.782,0.39416,digesting,diving
1423,1.8388,12,0.57304,1.5584,0.020842,diving,digesting
2144,16.69,115,12.341,12.529,0.052242,digesting,flying
2227,22.257,51,17.364,17.379,0.010734,flying,flying
4551,10.254,144,13.087,16.684,0.40834,unknown,flying
2144,1.1871,10,0.97525,0.97824,0.054456,flying,digesting
19882,12.743,178,13.181,89.424,0.18856,digesting,flying
2122,10.239,39,7.8603,8.3212,0.027036,unknown,flying
3340,5.8521,61,5.9979,6.7188,0.88641,flying,flying
1535,7.0628,48,4.5024,4.557,0.68443,flying,flying
1847,11.33,55,1.9512,3.3943,0.76728,flying,flying
1910,19.708,66,13.885,14.207,0.009144,flying,flying
4003,11.745,67,16.467,17.609,0.053256,unknown,flying
1451,0.64536,16,0.19255,0.21407,0.40848,flying,digesting
1753,6.127,54,1.7196,2.4026,0.77589,digesting,digesting
1300,0.33256,32,0.12749,0.13424,0.40985,digesting,digesting
3155,7.6446,76,5.1672,5.8685,0.41116,digesting,flying
2238,9.5228,58,2.1387,3.5418,0.91806,flying,diving
900,7.0523,58,0.93011,1.1074,0.156,diving,diving
1605,11.833,27,1.3809,2.6474,0.38305,diving,diving
1695,11.886,23,1.4322,2.2449,1.2916,diving,diving
2203,10.754,32,0.48125,2.095,0.50449,diving,diving
1221,14.89,26,0.44067,2.9863,1.3065,diving,diving
1819,14.891,13,9.1455,9.687,0.11291,diving,flying
4315,8.9094,60,4.3576,12.919,0.75357,unknown,diving
2781,11.41,40,8.5901,10.874,0.40485,unknown,flying
1507,4.3936,29,2.2642,2.269,0.045786,flying,flying
1668,1.3613,7,1.0768,1.2634,0.29741,flying,digesting
2258,8.7918,135,10.625,11.121,0.41115,digesting,flying
1359,0.21882,8,0.004768,0.012351,0.65573,flying,digesting
2547,0.47119,24,0.99997,1.0621,0.75374,digesting,digesting
