duration,avgSpeed,heightDiff,grndDist,totDist,angleVar,distDiff,resolution,fx,fy,fz,previousCluster,annotation
2570,6.1801,167.76,0.72962,1.4915,1.0634,0.76188,0.28016,0,0,1.25,'diving','floating'
2105,25.225,19.975,0.69856,0.86881,0.22423,0.17025,0.19953,0,0,1.25,'floating','diving'
2705,23.952,9.8463,5.4803,6.4449,0.077521,0.96468,0.22181,0,0,1.25,'unknown','floating'
2330,4.9567,2.7825,1.4258,1.4268,0.11538,0.00104,0.23176,0,0,2.1875,'floating','flying'
1498,11.754,0.9515,1.0179,1.1796,0.16644,0.1617,0.24032,0,0,1.25,'flying','floating'
1502,5.8026,1.7726,0.9559,0.95687,0.057114,0.000968,0.23968,0,0,1.875,'floating','flying'
1939,7.2879,3.8763,0.69,0.78586,0.18544,0.095868,0.21661,0,0,1.25,'unknown','floating'
2949,1.7967,39.437,0.37908,0.63753,2.527,0.25844,0.61038,0,0,1.25,'floating','diving'
3869,4.9806,13.36,2.8289,3.0269,2.0838,0.19797,0.82192,0,0,1.25,'diving','floating'
1629,8.8034,28.037,1.1117,1.1466,1.5167,0.034903,0.69982,0,0,1.25,'floating','floating'
2025,2.2525,62.283,0.49494,0.49949,2.7925,0.004555,0.82963,0,0,1.25,'unknown','floating'
1341,42.909,57.746,6.0409,6.1438,0.72227,0.10295,1.8792,3.125,0,6.5625,'floating','flying'
1723,2.715,15.301,0.4999,0.52646,0.67371,0.026557,1.3581,0,0,1.25,'flying','floating'
1591,38.632,42.552,6.0353,6.497,1.0959,0.46175,1.8102,6.5625,0,6.5625,'floating','flying'
1151,41.798,25.013,4.5039,4.7979,0.85122,0.29398,1.8766,3.125,0,3.125,'unknown','flying'
3699,38.389,51.594,6.4537,12.905,1.2299,6.4515,2.2222,6.25,0,3.75,'flying','flying'
2791,40.893,12.239,7.5925,11.55,0.51492,3.9578,3.1387,3.125,0,4.375,'flying','flying'
1550,41.969,39.997,6.5891,6.9577,0.51297,0.36856,2.5548,3.125,0,6.25,'flying','flying'
995,29.822,0.11658,2.2134,2.8133,1.0724,0.59993,2.8945,0,0,1.25,'flying','flying'
1359,35.073,6.469,3.6997,4.0059,1.3398,0.30623,2.0751,3.125,0,3.125,'flying','flying'
945,3.2697,3.5901,0.1719,0.2194,0.75276,0.047503,2.4762,0,0,1.25,'flying','floating'
1646,40.952,38.572,6.5779,7.4187,1.1265,0.84084,2.0778,3.125,0,3.125,'floating','flying'
1057,50.39,24.436,3.3617,5.8361,0.47406,2.4744,3.3491,3.125,0,3.125,'flying','flying'
1521,26.263,2.9093,3.9267,3.9318,0.24276,0.005115,1.6963,0,0,0,'flying','floating'
2175,31.02,3.3272,2.5818,4.4624,1.2135,1.8806,0.9931,0,0,1.25,'floating','floating'
5493,17.051,3.3479,9.9052,9.9235,0.046431,0.018257,0.20754,?,?,?,'floating','flying'
1872,5.8023,5.2612,0.11284,0.12134,0.28131,0.008506,0.19231,?,?,?,'unknown','floating'
5656,2.7184,8.6409,0.25496,0.3269,0.29506,0.071939,0.18034,?,?,?,'flying','diving'
3727,13.262,13.21,3.9724,6.0856,0.064827,2.1132,0.20928,?,?,?,'diving','diving'
2743,6.4926,2.3404,1.0184,1.2257,0.22999,0.20724,0.21874,?,?,?,'diving','diving'
18078,2.1531,11.208,3.1501,4.1261,0.19643,0.97607,0.20246,?,?,?,'diving','floating'
3057,39.242,24.456,13.996,14.174,0.06296,0.17775,0.2159,?,?,?,'floating','flying'
865,52.819,7.0116,4.5487,4.5504,0.017051,0.00169,0.27746,?,?,?,'flying','flying'
1840,49.423,9.1074,9.0637,9.2502,0.07317,0.18651,0.22826,?,?,?,'flying','flying'
2631,45.481,43.185,12.999,13.032,0.072716,0.033134,0.22805,?,?,?,'flying','flying'
8624,46.657,136.43,37.87,42.886,0.54748,5.0154,1.2871,3.125,0,5.9375,'badCluster','flying'
6656,17.769,0.52703,11.015,11.042,0.048462,0.027699,0.20733,0,0,1.25,'badCluster','flying'
6049,16.72,8.7246,10.851,10.984,0.044745,0.13314,0.2083,0,0,1.25,'badCluster','flying'
5762,2.7671,7.5414,2.7302,2.7391,0.19348,0.008962,0.20826,0,0,1.25,'flying','floating'
8054,2.0699,8.6538,0.4443,0.78883,0.18031,0.34453,0.20859,0,0,1.875,'unknown','floating'
